"ROW_ID","ICD9_CODE","SHORT_TITLE","LONG_TITLE"
216,"01226","Isolat trach tb-oth test","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
228,"01284","Resp TB NEC-cult dx","Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
243,"00320","Local salmonella inf NOS","Localized salmonella infection, unspecified"
8,"01726","TB periph lymph-oth test","Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
518,"04510","Paral polio NEC-type NOS","Acute poliomyelitis with other paralysis, poliovirus, unspecified type"
1372,"101","Vincent's angina","Vincent's angina"
895,"135","Sarcoidosis","Sarcoidosis"
1577,"20155","Hodg nodul sclero inguin","Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb"
1583,"20162","Hodgkins mix cell thorax","Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes"
1627,"2592","Carcinoid syndrome","Carcinoid syndrome"
1686,"20176","Hodg lymph deplet pelvic","Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes"
1740,"23770","Neurofibromatosis NOS","Neurofibromatosis, unspecified"
1759,"23877","Post tp lymphprolif dis","Post-transplant lymphoproliferative disorder (PTLD)"
2111,"20030","Margnl zone lym xtrndl","Marginal zone lymphoma, unspecified site, extranodal and solid organ sites"
1917,"20591","Uns myl leuk w rmsion","Unspecified myeloid leukemia, in remission"
2048,"1952","Malig neo abdomen","Malignant neoplasm of abdomen"
2710,"30412","Sed,hyp,anxiolyt dep-epi","Sedative, hypnotic or anxiolytic dependence, episodic"
2253,"2830","Autoimmun hemolytic anem","Autoimmune hemolytic anemias"
2392,"20973","Sec neuroendo tumor-bone","Secondary neuroendocrine tumor of bone"
2501,"2250","Benign neoplasm brain","Benign neoplasm of brain"
2511,"2273","Benign neo pituitary","Benign neoplasm of pituitary gland and craniopharyngeal duct"
2811,"34981","Cerebrospinal rhinorrhea","Cerebrospinal fluid rhinorrhea"
2823,"3520","Olfactory nerve disorder","Disorders of olfactory (1st) nerve"
2977,"3082","Stress react, psychomot","Predominant psychomotor disturbance"
3030,"31322","Introverted dis-child","Introverted disorder of childhood"
3077,"3213","Trypanosomiasis meningit","Meningitis due to trypanosomiasis"
3102,"3249","Cns abscess NOS","Intracranial and intraspinal abscess of unspecified site"
3272,"29513","Hebephren-subchr/exacerb","Disorganized type schizophrenia, subchronic with acute exacerbation"
3284,"29533","Paran schizo-subchr/exac","Paranoid type schizophrenia, subchronic with acute exacerbation"
3295,"29552","Latent schizophren-chr","Latent schizophrenia, chronic"
3308,"29573","Schizoaff dis-subch/exac","Schizoaffective disorder, subchronic with acute exacerbation"
3320,"29593","Schizo NOS-subchr/exacer","Unspecified schizophrenia, subchronic with acute exacerbation"
3328,"29605","Bipol I sing man rem NOS","Bipolar I disorder, single manic episode, in partial or unspecified remission"
3355,"3336","Genetic torsion dystonia","Genetic torsion dystonia"
2791,"34701","Narcolepsy w cataplexy","Narcolepsy, with cataplexy"
3561,"38400","Acute myringitis NOS","Acute myringitis, unspecified"
3626,"36834","Abn retina correspond","Abnormal retinal correspondence"
4201,"44021","Ath ext ntv at w claudct","Atherosclerosis of native arteries of the extremities with intermittent claudication"
4253,"44501","Atheroembolism,upper ext","Atheroembolism of upper extremity"
4254,"44502","Atheroembolism,lower ext","Atheroembolism of lower extremity"
4442,"42611","Atriovent block-1st degr","First degree atrioventricular block"
4487,"4289","Heart failure NOS","Heart failure, unspecified"
4550,"3920","Rheum chorea w hrt invol","Rheumatic chorea with heart involvement"
4734,"37500","Dacryoadenitis NOS","Dacryoadenitis, unspecified"
4835,"37773","Vis cortex dis w inflam","Disorders of visual cortex associated with inflammatory disorders"
5348,"45374","Ch emblsm axillary veins","Chronic venous embolism and thrombosis of axillary veins"
5102,"49312","Int asthma w (ac) exac","Intrinsic asthma with (acute) exacerbation"
5162,"515","Postinflam pulm fibrosis","Postinflammatory pulmonary fibrosis"
5175,"5165","Adlt pul Langs cell hist","Adult pulmonary Langerhans cell histiocytosis"
5188,"5217","Intrin posteruptv color","Intrinsic posteruptive color changes"
5296,"5201","Supernumerary teeth","Supernumerary teeth"
5674,"63401","Spon abor w pelv inf-inc","Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete"
5887,"5819","Nephrotic syndrome NOS","Nephrotic syndrome with unspecified pathological lesion in kidney"
6162,"55120","Gangr ventral hernia NOS","Ventral hernia, unspecified, with gangrene"
6167,"5519","Hernia, site NOS w gangr","Hernia of unspecified site, with gangrene"
6453,"64813","Thyroid dysfunc-antepart","Thyroid dysfunction of mother, antepartum condition or complication"
6471,"64851","Congen CV dis-delivered","Congenital cardiovascular disorders of mother, delivered, with or without mention of antepartum condition"
6829,"65460","Abn cervix NEC preg-unsp","Other congenital or acquired abnormality of cervix, unspecified as to episode of care or not applicable"
7541,"69550","Exfol d/t eryth <10% bdy","Exfoliation due to erythematous condition involving less than 10 percent of body surface"
7591,"7520","Anomalies of ovaries","Anomalies of ovaries"
7667,"80032","Cl skull vlt fx-brf coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
7751,"6984","Dermatitis factitia","Dermatitis factitia [artefacta]"
7196,"75451","Talipes equinovarus","Talipes equinovarus"
7224,"75526","Longitud defic radius","Longitudinal deficiency, radial, complete or partial (with or without distal deficiencies, incomplete)"
7303,"74484","Microstomia","Microstomia"
7319,"7458","Septal closure anom NEC","Other bulbus cordis anomalies and anomalies of cardiac septal closure"
7333,"74682","Cor triatriatum","Cor triatriatum"
7420,"79924","Emotional lability","Emotional lability"
7439,"82331","Fx fibula shaft-open","Open fracture of shaft of fibula alone"
7773,"83969","Dislocat site NEC-closed","Closed dislocation, other location"
7788,"8410","Sprain radial collat lig","Radial collateral ligament sprain"
7828,"71139","Dysenter arthrit-mult","Postdysenteric arthropathy, multiple sites"
7885,"7599","Congenital anomaly NOS","Congenital anomaly, unspecified"
7950,"80139","Cl skull base fx-concuss","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
7958,"80149","Cl skull base fx-concuss","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
7982,"85159","Opn cerebel cont-concuss","Cerebellar or brain stem contusion with open intracranial wound, with concussion, unspecified"
8078,"83811","Disloc tarsal NOS-open","Open dislocation of tarsal (bone), joint unspecified"
8099,"83915","Disloc 5th cerv vert-opn","Open dislocation, fifth cervical vertebra"
8227,"75673","Gastroschisis","Gastroschisis"
8285,"80105","Cl skl base fx-deep coma","Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
8628,"71523","Loc 2nd osteoart-forearm","Osteoarthrosis, localized, secondary, forearm"
8695,"7685","Severe birth asphyxia","Severe birth asphyxia"
8554,"80226","Fx symphy mandib body-cl","Closed fracture of mandible, symphysis of body"
8832,"85305","Brain hem NEC-deep coma","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
8878,"71906","Joint effusion-l/leg","Effusion of joint, lower leg"
8910,"71938","Palindrom rheum-jt NEC","Palindromic rheumatism, other specified sites"
9062,"7724","NB GI hemorrhage","Gastrointestinal hemorrhage of fetus or newborn"
9134,"85225","Subdural hem-deep coma","Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
9182,"71818","Loose body-joint NEC","Loose body in joint, other specified sites"
9211,"71847","Jt contracture-ankle","Contracture of joint, ankle and foot"
11022,"V241","Postpart care-lactation","Postpartum care and examination of lactating mother"
12524,"9755","Poisoning-expectorants","Poisoning by expectorants"
12259,"9075","Lt eff nerv inj pelv/leg","Late effect of injury to peripheral nerve of pelvic girdle and lower limb"
13993,"V902","Retain plastic fragments","Retained plastic fragments"
14028,"V6809","Issue of med certif NEC","Other issue of medical certificates"
